CUST_ID	VIEW_COUNT
RLE1718001	43
RLA1119001	NULL
RL00130004	50
RL00100101	135
RL00101103	8
RL00101101	34
RL00100102	20
RL00101105	15
RL00400110	262
RL00107001	NULL
RLC2118001	19
RLC2318001	18
RL00130001	24
RL00101206	73
RL00101203	147
RL00199916	21
RL00499902	91
RL00100502	42
RL00104005	94
RL00104004	97
RL00114511	70
RL00400116	190
RL00109701	120
RL00400117	113
RL00400203	51
RL00400115	37
RL00103501	32
RL00103001	363
RL10705001	232
RL00104006	192
RL00199908	481
RL00102501	696
RL00199902	681
RL00100803	NULL
RL00106001	80
RL00108101	12
RL00102401	37
RL00100807	216
RL00104803	80
RL00104804	174
RL00100802	42
RL00100801	47
RL00104601	NULL
RL00100201	NULL
RL00100901	4
RL00101802	31
RL00109401	NULL
RL00103101	NULL
RL00105001	14
RL00109201	NULL
RL00121103	113
RL00110008	65
RL00200901	39
RL00100404	108
RLJ1818001	NULL
RL00010050	34
RL00400201	245
RL00400101	148
RL00400102	116
RL00400108	95
RL00107901	86
RL00101102	172
RL00400106	1594
RL00499901	172
RL00400105	31
RL00400112	69
RL00400107	148
RL00110005	122
RLD1018001	44
RL00100401	26
RL00400501	31
RL00109802	115
RL00400104	128
RL00421302	23
RL00109001	39
RL00421304	214
RL00421303	92
RL00421301	NULL
RLJ1818002	NULL
RL00103303	748
RL00100301	164
RL00103302	150
RL00104401	151
RL00199907	211
RL00108001	NULL
RLJ1818005	NULL
RL00105301	116
RL00199917	221
RL00103401	NULL
RLJ1818005	NULL
TR00100502	303
RL00121001	5
RL00107801	8
RL00109803	59
RL00010051	26
RL00102301	42
RL00100804	20
RL00108201	NULL
RLI1418002	3
RL10700005	40
RL00110003	81
RL00100110	26
RL00101912	70
RL00101905	28
RL00110010	15
RL10700002	13
RL10700003	46
RL00101911	64
RL00104802	226
RL00101910	45
RL10702102	20
RL10702101	3
RLJ1818006	NULL
RL00103301	374
RL00101906	307
TR00010244	840
RL00110001	90
RLJ1818007	NULL
RL00199915	124
RL00101913	804
RL10700101	324
RL10702003	144
RL10702002	374
RLJ1818008	NULL
RL10702001	174
RL00102502	57
RL00101909	331
RL10799901	55
RL00102201	25
TR00010507	NULL
RL00102101	24
RL00102001	19
